31.222.48.0,31.222.63.255,4096,13/05/11,GVC Corporate Services Limited
62.205.128.0,62.205.159.255,8192,01/02/08,Netassist Limited
85.115.128.0,85.115.159.255,8192,02/03/05,Broadband Gibraltar Limited
95.164.0.0,95.164.255.255,65536,31/12/08,Netassist Limited
178.208.192.0,178.208.223.255,8192,08/04/10,Gibtelecom Ltd.
195.166.192.0,195.166.223.255,8192,01/05/97,Broadband Gibraltar Limited
195.244.192.0,195.244.223.255,8192,14/04/97,Gibtelecom Ltd.
212.22.224.0,212.22.255.255,8192,06/10/99,Betvictor Limited
212.120.224.0,212.120.255.255,8192,22/05/00,Gibtelecom Ltd.
217.65.48.0,217.65.63.255,4096,04/03/08,Gibtelecom Ltd.
217.147.112.0,217.147.127.255,4096,05/05/04,Virtual Internet Services Limited

